"recid","age","hsged","white","children","jtpa","married","male","treatment","delta","days"
300828,24,1,1,1,1,0,1,1,1,35
300830,44,1,1,1,0,1,1,1,1,5
300833,34,0,0,1,0,1,1,0,1,105
300838,36,0,1,1,1,0,0,1,1,290
300840,32,1,1,1,0,0,0,1,1,21
300841,40,0,1,1,1,1,1,1,1,7
300843,37,1,0,0,1,0,0,1,0,549
300844,24,1,0,0,1,0,1,1,1,164
300845,21,1,0,1,0,0,0,0,1,118
300847,19,1,1,0,0,0,1,0,1,398
300849,19,0,1,0,0,0,1,1,1,397
300851,28,0,1,0,1,0,0,1,1,70
300853,29,0,1,1,1,1,1,1,1,40
300854,22,0,0,0,1,0,1,1,0,703
300860,20,0,0,0,1,0,1,1,1,6
300861,17,1,1,0,1,0,0,1,1,98
300862,22,0,1,1,0,0,0,1,1,40
300863,24,0,1,1,1,1,1,1,1,73
300864,16,0,1,1,1,0,1,0,1,630
300866,41,0,1,1,1,1,0,1,1,31
300867,23,1,0,1,0,0,0,0,1,59
300872,24,1,0,1,1,0,0,1,1,17
300874,20,1,0,1,1,0,0,1,1,113
300875,19,1,1,1,0,1,0,0,1,98
300878,18,0,1,1,1,0,0,1,1,643
300879,35,1,0,1,1,1,1,1,1,73
300880,31,1,1,1,0,0,0,0,0,691
300888,26,1,1,1,1,0,0,1,1,89
300889,47,1,1,1,1,1,0,1,1,559
300892,28,1,1,1,1,1,0,1,1,12
300893,69,0,0,0,1,1,1,0,1,52
300894,28,0,0,1,1,0,0,0,0,616
300896,17,0,0,0,1,0,1,1,1,185
300897,18,1,1,0,1,0,0,1,1,146
300898,30,0,1,1,0,0,0,1,1,34
300899,17,0,0,0,0,0,1,1,1,44
300900,46,1,0,0,0,0,0,0,0,742
300902,33,0,1,1,0,0,0,1,1,358
300903,25,1,0,0,1,0,1,1,0,451
300905,31,0,1,0,0,1,1,1,1,35
300907,18,1,1,0,1,0,1,1,0,548
300912,29,0,0,1,0,0,0,0,0,690
300914,18,1,0,0,0,0,0,1,1,362
300915,18,0,1,0,1,1,1,1,1,12
300916,38,0,0,1,0,0,0,1,1,29
300918,54,1,1,1,1,1,0,1,1,178
300919,18,1,1,0,1,0,1,0,0,620
300926,19,1,0,0,1,0,1,1,1,590
300927,22,0,0,1,0,0,0,1,1,334
300929,25,0,0,1,0,1,0,0,1,533
300930,34,0,1,0,0,0,1,0,1,14
300932,38,1,1,1,0,1,0,1,1,42
300935,22,1,1,1,0,0,0,0,1,337
300940,25,1,1,0,0,0,1,1,1,155
300944,37,0,1,1,1,0,0,1,0,1253
300949,21,0,1,1,0,1,0,0,0,1304
300952,21,0,0,1,0,0,0,1,0,795
300953,26,1,0,1,1,0,0,1,1,183
300954,25,0,1,0,1,1,0,1,1,162
300960,20,1,1,0,1,0,1,0,1,57
300961,33,1,1,1,1,1,1,1,1,38
300963,39,1,1,1,0,0,1,1,1,294
300967,25,1,0,1,1,0,0,0,1,553
300969,22,0,1,0,0,0,1,1,1,135
300971,20,0,1,0,0,0,0,1,1,428
300972,34,0,0,1,1,0,0,1,1,253
300975,30,0,0,1,1,0,0,1,1,78
300976,21,1,0,0,1,0,0,1,1,30
300977,22,1,1,1,1,0,0,1,0,587
300978,19,1,0,0,1,0,1,1,1,80
300980,22,0,0,0,1,0,0,0,1,166
300983,28,0,1,0,0,0,1,1,1,537
300985,43,1,0,0,1,0,1,1,1,74
300986,41,1,0,1,1,0,0,1,0,659
300987,21,0,0,1,1,0,0,1,1,8
300989,21,1,1,0,0,0,0,0,1,17
300990,53,0,1,0,1,1,0,1,0,650
300991,21,1,1,0,1,0,1,1,1,585
300995,24,0,1,1,0,0,0,1,0,704
300998,20,0,1,0,1,1,1,1,1,559
300999,41,0,1,1,0,1,0,1,1,143
301000,33,1,1,1,1,0,0,1,1,707
301002,23,1,0,0,0,1,1,0,1,7
301003,22,0,0,0,1,0,0,1,1,94
301005,22,1,1,0,1,0,0,0,0,527
301007,32,0,0,1,0,1,0,1,1,15
301009,23,1,1,1,0,0,0,1,1,253
301011,52,1,1,1,0,0,0,0,1,273
301012,60,1,1,0,1,1,0,1,1,145
